                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.4723,                 1.3237,                 1.1397,                0.80159,                0.60344,                0.73182,                0.54446,                0.64263,                 3.1753,                 1.4486,             0.00027589,             0.00027589,             0.00027589
                      1,                0.51191,                 0.8399,                 1.1401,                0.91148,                0.84414,                 0.9215,                0.86664,                0.35952,                 1.1341,                 1.0946,             0.00053529,             0.00053529,             0.00053529
                      2,                0.49921,                0.70745,                 1.1263,                0.76815,                0.95368,                0.96532,                0.90041,                0.29888,                0.92891,                 1.0614,             0.00077636,             0.00077636,             0.00077636
                      3,                 0.4474,                0.65474,                  1.085,                0.95242,                0.98782,                0.99096,                0.96382,                  0.238,                0.33638,                 1.0079,             0.00075053,             0.00075053,             0.00075053
                      4,                0.41378,                0.57994,                 1.0614,                0.83997,                0.95452,                0.98821,                0.96976,                0.25393,                0.44299,                0.99718,             0.00075053,             0.00075053,             0.00075053
                      5,                0.39775,                0.50766,                 1.0559,                0.93558,                0.95331,                0.99005,                0.98534,                0.23682,                0.36597,                0.97644,             0.00072304,             0.00072304,             0.00072304
                      6,                0.37222,                 0.4748,                 1.0386,                0.96823,                0.92921,                0.98864,                0.98498,                0.17721,                0.28455,                0.95165,             0.00069556,             0.00069556,             0.00069556
                      7,                0.34489,                0.42375,                 1.0227,                0.99168,                0.85569,                0.92816,                0.86697,                0.48398,                0.59137,                 1.3048,             0.00066807,             0.00066807,             0.00066807
                      8,                0.32191,                0.40617,                 1.0045,                0.98103,                0.99279,                0.99133,                0.98803,                0.23889,                0.23566,                0.96805,             0.00064058,             0.00064058,             0.00064058
                      9,                0.31842,                0.38721,                 1.0042,                0.98215,                 0.9869,                0.99127,                0.98403,                0.18227,                0.19714,                0.95291,             0.00061309,             0.00061309,             0.00061309
                     10,                0.30356,                0.35419,                0.99396,                 0.9924,                0.99583,                0.98993,                0.98807,                0.15423,                0.15666,                0.93367,              0.0005856,              0.0005856,              0.0005856
                     11,                0.29339,                0.34517,                0.99144,                0.98555,                0.99583,                0.98888,                0.98743,                 0.1916,                0.24446,                0.95723,             0.00055811,             0.00055811,             0.00055811
                     12,                0.28124,                0.32013,                0.98253,                0.99071,                0.99583,                0.99025,                0.98868,                0.19336,                0.17577,                0.94495,             0.00053062,             0.00053062,             0.00053062
                     13,                0.26063,                0.29928,                0.96861,                0.99137,                0.99583,                0.99019,                0.98878,                0.14016,                0.14101,                0.92079,             0.00050313,             0.00050313,             0.00050313
                     14,                0.25986,                0.30276,                0.97457,                0.97789,                0.98865,                0.99043,                0.98723,                0.17564,                0.18522,                0.94981,             0.00047564,             0.00047564,             0.00047564
                     15,                0.24868,                0.27564,                0.96309,                0.99214,                0.99583,                0.98844,                0.98666,                0.15962,                0.14643,                0.92949,             0.00044815,             0.00044815,             0.00044815
                     16,                0.25325,                 0.2717,                0.96548,                0.99298,                0.99583,                0.98956,                0.98925,                0.15576,                0.16174,                 0.9267,             0.00042066,             0.00042066,             0.00042066
                     17,                0.24775,                0.26387,                0.96313,                0.99014,                0.99583,                0.99151,                0.99058,                0.15479,                0.14736,                0.92309,             0.00039318,             0.00039318,             0.00039318
                     18,                0.23563,                0.25253,                0.95159,                0.99352,                0.99583,                0.99229,                0.99112,                0.13506,                0.13403,                0.91502,             0.00036569,             0.00036569,             0.00036569
                     19,                0.22284,                0.25179,                0.94984,                0.99315,                0.99583,                0.98846,                0.98829,                0.15303,                0.15347,                0.92607,              0.0003382,              0.0003382,              0.0003382
                     20,                0.22381,                0.23181,                0.94736,                0.99261,                0.99583,                0.98987,                0.98823,                0.13319,                0.12912,                0.91639,             0.00031071,             0.00031071,             0.00031071
                     21,                0.21845,                0.22494,                0.94402,                0.99304,                0.99583,                0.99074,                0.98759,                0.15401,                0.15306,                0.92603,             0.00028322,             0.00028322,             0.00028322
                     22,                 0.2094,                0.22085,                0.94147,                0.99418,                0.99583,                0.99307,                0.99166,                0.12391,                0.11719,                0.91311,             0.00025573,             0.00025573,             0.00025573
                     23,                0.19786,                0.20972,                0.93794,                0.99378,                0.99583,                0.99074,                0.98977,                0.12954,                 0.1126,                0.91127,             0.00022824,             0.00022824,             0.00022824
                     24,                0.19993,                0.21112,                0.93462,                0.99466,                0.99583,                 0.9929,                 0.9918,                0.13931,                 0.1378,                0.92271,             0.00020075,             0.00020075,             0.00020075
                     25,                0.19168,                0.19778,                0.93742,                0.99393,                0.99583,                0.99242,                0.99119,                0.12385,                0.11253,                0.91066,             0.00017326,             0.00017326,             0.00017326
                     26,                0.18821,                 0.1902,                 0.9302,                0.99281,                0.99583,                0.98962,                0.98857,                0.13599,                0.13041,                0.91965,             0.00014577,             0.00014577,             0.00014577
                     27,                0.18024,                0.18975,                0.92511,                0.99224,                0.99583,                0.99335,                0.99188,                0.13522,                0.12719,                0.91898,             0.00011829,             0.00011829,             0.00011829
                     28,                0.17362,                0.17991,                0.92591,                0.99281,                0.99583,                0.98868,                 0.9883,                0.13328,                0.11365,                0.92037,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     29,                0.17168,                0.17545,                0.92565,                0.99308,                0.99583,                0.99106,                0.98972,                0.13081,                0.10568,                0.91463,             6.3308e-05,             6.3308e-05,             6.3308e-05
